pid,x,y
464,608426.113,229456.479
465,608391.75,229397.3
466,608390.004,229392.204
467,608391.633,229387.618
468,608406.18,229374.868
469,608409.191,229372.796
470,608435.321,229352.118
471,608452.51,229341.619
472,608461.87,229331.674
473,608466.05,229319.704
474,608465.696,229313.714
475,608451.947,229245.72
476,608453.699,229231.439
477,608454.951,229216.06
478,608454.113,229206.367
479,608450.852,229200.986
480,608443.36,229189.958
481,608436.05,229171.195
482,608435.199,229165.72
483,608436.889,229160.095
484,608449.385,229142.9
485,608455.198,229124.455
486,608464.698,229103.822
487,608465.214,229098.022
488,608466.084,229094.756
489,608465.685,229081.73
490,608468.293,229071.833
491,608480.286,229050.118
492,608488.225,229026.345
493,608493.747,229018.46
494,608500.807,229014.413
495,608510.786,229011.858
496,608529.607,229000.802
497,608537.185,228998.754
498,608553.911,228999.404
499,608611.749,229000.719
500,608506.267,228738.259
501,608465.665,228613.681
502,608465.6323295092,228613.58083346227
503,608464.9663329395,228611.56598913993
504,608464.2851638691,228609.5562235387
505,608463.5888610219,228607.55165091116
506,608462.8774639815,228605.55238521466
507,608462.1510131902,228603.55854010486
508,608461.4095499455,228601.57022892925
509,608460.6531163988,228599.58756472077
510,608459.8817555524,228597.61066019128
511,608459.095511257,228595.63962772524
512,608458.2944282097,228593.67457937327
513,608457.4785519509,228591.7156268459
514,608456.6479288623,228589.76288150693
515,608455.8026061635,228587.81645436748
516,608454.9426319102,228585.87645607936
517,608454.0680549907,228583.94299692896
518,608453.1789251238,228582.01618683097
519,608452.2752928551,228580.09613532198
520,608451.357209555,228578.18295155448
521,608450.4247274153,228576.27674429043
522,608449.4778994465,228574.37762189528
523,608448.5167794746,228572.48569233168
524,608447.5414221378,228570.60106315333
525,608446.5518828841,228568.72384149898
526,608445.5482179674,228566.85413408626
527,608444.5304844448,228564.99204720557
528,608443.4987401732,228563.13768671415
529,608442.4530438058,228561.29115803
530,608441.3934547891,228559.45256612587
531,608440.3200333593,228557.62201552332
532,608439.2328405393,228555.79961028678
533,608438.1319381343,228553.98545401762
534,608437.0173887294,228552.1796498483
535,608435.889255685,228550.38230043638
536,608434.7476031343,228548.59350795887
537,608433.5924959785,228546.81337410634
538,608432.424,228545.042
539,608432.3681004244,228544.95798900962
540,608431.1855072536,228543.1958056008
541,608429.9896622477,228541.44258807416
542,608428.7806333788,228539.69843608316
543,608427.5584893682,228537.96344876583
544,608426.3232996832,228536.2377247393
545,608425.0751345321,228534.52136209424
546,608423.814064861,228532.81445838916
547,608422.5401623495,228531.11711064487
548,608421.2534994065,228529.42941533917
549,608419.9541491664,228527.75146840102
550,608418.6421854844,228526.08336520547
551,608417.3176829331,228524.42520056793
552,608415.9807167974,228522.77706873888
553,608414.6313630709,228521.13906339867
554,608413.2696984513,228519.51127765188
555,608411.8958003358,228517.89380402237
556,608410.5097468174,228516.28673444773
557,608409.1116166795,228514.69016027424
558,608407.7014893924,228513.10417225162
559,608406.279445108,228511.52886052788
560,608404.8455646557,228509.9643146441
561,608403.3999295377,228508.41062352958
562,608401.9426219243,228506.86787549648
563,608400.4737246492,228505.33615823506
564,608398.9933212049,228503.8155588085
565,608397.501495738,228502.3061636481
566,608395.9983330444,228500.80805854834
567,608394.4839185639,228499.32132866187
568,608392.9583383766,228497.84605849485
569,608391.4216791966,228496.38233190202
570,608389.8740283683,228494.93023208197
571,608388.3154738605,228493.48984157247
572,608386.7461042617,228492.06124224575
573,608385.1660087755,228490.64451530375
574,608383.5752772149,228489.2397412736
575,608381.974,228487.847
576,608381.3615579582,228487.32073573075
577,608380.0489894302,228486.2083588163
578,608378.7261333114,228485.1082359914
579,608377.3931040016,228484.0204623938
580,608376.0500167798,228482.94513209318
581,608374.6969877953,228481.88233808326
582,608373.3341340567,228480.8321722736
583,608371.9615734225,228479.79472548165
584,608370.5794245907,228478.7700874249
585,608369.1878070883,228477.75834671326
586,608367.7868412612,228476.75959084116
587,608366.3766482639,228475.77390618023
588,608364.9573500485,228474.80137797166
589,608363.5290693549,228473.84209031882
590,608362.0919296995,228472.89612618013
591,608360.6460553651,228471.96356736182
592,608359.1915713896,228471.04449451077
593,608357.7286035555,228470.13898710764
594,608356.2572783792,228469.24712345994
595,608354.7777230995,228468.36898069532
596,608353.2900656672,228467.50463475482
597,608351.7944347338,228466.65416038633
598,608350.2909596399,228465.81763113823
599,608348.7797704051,228464.99511935282
600,608347.2609977156,228464.18669616024
601,608345.7347729137,228463.39243147228
602,608344.2012279859,228462.61239397628
603,608342.6604955521,228461.8466511292
604,608341.1127088533,228461.09526915188
605,608339.5580017411,228460.3583130232
606,608337.996508665,228459.6358464745
607,608336.4283646618,228458.92793198407
608,608334.8537053431,228458.23463077183
609,608333.2726668844,228457.5560027938
610,608331.6853860123,228456.89210673724
611,608330.092,228456.243
612,608329.3405593642,228455.94285571083
613,608327.738510721,228455.31562319692
614,608326.1306982869,228454.70331636374
615,608324.5172611151,228454.1059881673
616,608322.8983387457,228453.52369026828
617,608321.274071193,228452.9564730273
618,608319.6445989334,228452.4043855008
619,608318.0100628939,228451.86747543668
620,608316.3706044389,228451.3457892702
621,608314.7263653593,228450.83937212
622,608313.0774878584,228450.34826778414
623,608311.4241145415,228449.87251873632
624,608309.7663884024,228449.4121661222
625,608308.1044528115,228448.96724975592
626,608306.438451503,228448.53780811655
627,608304.768528563,228448.12387834486
628,608303.0948284166,228447.72549624005
629,608301.4174958157,228447.3426962566
630,608299.7366758263,228446.97551150137
631,608298.0525138158,228446.6239737308
632,608296.3651554411,228446.288113348
633,608294.6747466351,228445.9679594003
634,608292.9814335948,228445.66353957646
635,608291.2853627683,228445.37488020465
636,608289.5866808422,228445.1020062499
637,608287.8855347288,228444.84494131195
638,608286.1820715537,228444.60370762344
639,608284.4764386427,228444.37832604765
640,608282.7687835096,228444.16881607703
641,608281.0592538428,228443.97519583124
642,608279.3479974928,228443.7974820558
643,608277.6351624595,228443.6356901204
644,608275.9208968795,228443.48983401785
645,608274.2053490129,228443.35992636267
646,608272.4886672308,228443.2459783901
647,608270.771,228443.148
648,608203.95,228439.648
649,608205.312,228374.821
650,608205.233,228371.459
651,608205.022,228363.115
652,608204.599,228344.047
653,608193.052,228341.977
654,608200.803,228300.93
655,608202.131,228301.164
656,608207.627,228274.243
657,608212.063,228251.478
658,608216.013,228231.747
659,608201.536,228228.84
660,608194.911,228108.254
661,608194.528,228098.579
662,608202.434,228067.893
663,608201.076,228065.341
664,608204.734,228033.175
665,608164.223,228023.279
666,608172.453,228010.851
667,608178.484,227998.066
668,608183.176,227985.988
669,608186.182,227974.414
670,608187.046,227974.376
671,608186.81,227970.781
672,608186.175,227970.622
673,608190.855,227950.171
674,608191.779,227945.897
675,608192.08,227944.78
676,608185.323,227944.097
677,608179.463,227943.544
678,608126.93,227934.703
679,608116.787,227930.275
680,608107.186,227926.066
681,608106.367,227927.951
682,608056.113,227906.023
683,608055.555,227905.81
684,608053.84,227909.417
685,608044.348,227930.175
686,608031.903,227919.984
687,608023.681,227913.251
688,607999.775,227888.732
